Company Name,Type,Subcategory
S V C Co-Operative Bank Ltd.,Indian Bank,Foreign Bank
Sakura Bank Ltd. [Merged],Foreign Bank,Foreign Bank
Samasta Nagar Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Sangli Bank Ltd. [Merged],Foreign Bank,Foreign Bank
Santhal Parganas Gramin Bank,Foreign Bank,Foreign Bank
Saptagiri Grameena Bank,Foreign Bank,Indian Public Bank
Saraswat Co-Operative Bank Ltd.,Indian Bank,Foreign Bank
Sarva U P Gramin Bank,Foreign Bank,Foreign Bank
Satara Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
Saurashtra Gramin Bank,Foreign Bank,Indian Public Bank
Scotia Bank,Foreign Bank,Foreign Bank
Shalini Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
Shinhan Bank,Foreign Bank,Indian Public Bank
Shivalik Mercantile Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Shivalik Small Finance Bank Ltd.,Indian Bank,Foreign Bank
Shree Suvarna Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
Shreeji Bhatia Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Shri Arihant Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Siam Commercial Bank,Foreign Bank,Foreign Bank
Societe Generale,Foreign Bank,Indian Public Bank
Solapur District Central Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Sonali Bank,Foreign Bank,Foreign Bank
South Gujarat Local Area Bank Ltd. [Merged],Foreign Bank,Foreign Bank
South Indian Bank Ltd.,Indian Bank,Indian Public Bank
South Indian Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Sree Narayana Guru Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Srinivasaperumal Bank Ltd.,Foreign Bank,Foreign Bank
Standard Chartered Bank - India Branches,Foreign Bank,Foreign Bank
Standard Chartered Grindlays Bank Ltd. [Merged],Foreign Bank,Foreign Bank
State Bank Of Bikaner & Jaipur [Merged],Indian Bank,Foreign Bank
State Bank Of Hyderabad [Merged],Indian Bank,Foreign Bank
State Bank Of India,Indian Bank,Foreign Bank
State Bank Of Indore [Merged],Indian Bank,Foreign Bank
State Bank Of Mauritius Ltd.,Indian Bank,Foreign Bank
State Bank Of Mysore [Merged],Indian Bank,Foreign Bank
State Bank Of Patiala [Merged],Indian Bank,Foreign Bank
State Bank Of Saurashtra [Merged],Indian Bank,Foreign Bank
State Bank Of Travancore [Merged],Indian Bank,Foreign Bank
State Transport Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Subhadra Local Area Bank Ltd.,Foreign Bank,Foreign Bank
Sumitomo Bank Ltd. [Merged],Foreign Bank,Foreign Bank
Sumitomo Mitsui Banking Corpn.,Foreign Bank,Foreign Bank
Suryoday Small Finance Bank Ltd.,Indian Bank,Indian Public Bank
Syndicate Bank [Merged],Foreign Bank,Foreign Bank
T J S B Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
Tamil Nadu State Apex Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Tamilnad Mercantile Bank Ltd.,Foreign Bank,Indian Public Bank
Times Bank Ltd. [Merged],Foreign Bank,Foreign Bank
Toronto-Dominion Bank,Foreign Bank,Foreign Bank
U B S Ag,Foreign Bank,Foreign Bank
U F J Bank Ltd.,Foreign Bank,Foreign Bank
Uco Bank,Foreign Bank,Foreign Bank
Ujjivan Small Finance Bank Ltd.,Indian Bank,Indian Public Bank
Union Bank Of India,Indian Bank,Foreign Bank
United Bank Of India [Merged],Foreign Bank,Foreign Bank
United Overseas Bank - Mumbai Branch,Foreign Bank,Foreign Bank
United Western Bank Ltd. [Merged],Foreign Bank,Foreign Bank
Unity Small Finance Bank Ltd.,Indian Bank,Foreign Bank
Utkarsh Small Finance Bank Ltd.,Indian Bank,Indian Public Bank
Vaishya Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
Vasant Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
Veerashaiva Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Vijaya Bank [Merged],Foreign Bank,Foreign Bank
Vima Kamgar Co.Op. Bank Ltd.,Foreign Bank,Foreign Bank
Vinayak Local Area Bank Ltd.,Foreign Bank,Foreign Bank
Wai Urban Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Westpac Banking Corpn.,Foreign Bank,Foreign Bank
Woori Bank,Foreign Bank,Indian Public Bank
Yes Bank Ltd.,Indian Bank,Foreign Bank
Zoroastrian Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
